0.9	0.025	0.025	0.025	0.025
0.8	0.05	0.05	0.05	0.05
0.7	0.075	0.075	0.075	0.075
0.6	0.1	0.1	0.1	0.1
0.5	0.125	0.125	0.125	0.125
0.4	0.15	0.15	0.15	0.15
0.3	0.175	0.175	0.175	0.175
0.1	0.225	0.225	0.225	0.225
0	0.25	0.25	0.25	0.25
0.025	0.9	0.025	0.025	0.025
0.05	0.8	0.05	0.05	0.05
0.075	0.7	0.075	0.075	0.075
0.1	0.6	0.1	0.1	0.1
0.125	0.5	0.125	0.125	0.125
0.15	0.4	0.15	0.15	0.15
0.175	0.3	0.175	0.175	0.175
0.225	0.1	0.225	0.225	0.225
0.2485	0.006	0.2485	0.2485	0.2485
0.2125	0.2125	0.15	0.2125	0.2125
0.225	0.225	0.1	0.225	0.225
0.2375	0.2375	0.05	0.2375	0.2375
0.25	0.25	0	0.25	0.25
0.025	0.025	0.025	0.9	0.025
0.05	0.05	0.05	0.8	0.05
0.075	0.075	0.075	0.7	0.075
0.1	0.1	0.1	0.6	0.1
0.125	0.125	0.125	0.5	0.125
0.15	0.15	0.15	0.4	0.15
0.175	0.175	0.175	0.3	0.175
0.225	0.225	0.225	0.1	0.225
0.25	0.25	0.25	0	0.25
0.05	0.05	0.05	0.05	0.8
0.075	0.075	0.075	0.075	0.7
0.1	0.1	0.1	0.1	0.6
0.125	0.125	0.125	0.125	0.5
0.15	0.15	0.15	0.15	0.4
0.175	0.175	0.175	0.175	0.3
0.225	0.225	0.225	0.225	0.1
0.25	0.25	0.25	0.25	0
0.3	0.2	0.1	0.3	0.1
0.2	0.3	0.1	0.3	0.1
0.3	0.1	0.1	0.3	0.2
0.22	0.26	0.18	0.1	0.24
0	0.5	0.5	0	0
0.4	0.1	0.1	0.2	0.2
0.2	0.1	0.1	0.4	0.2
0.281	0.088	0.14	0.351	0.14
0.414	0.172	0.069	0.207	0.138
0.118	0.147	0	0.382	0.353
0.194	0.215	0.248	0.309	0.034
0.272	0.204	0.324	0.2	0
0.131	0.048	0.004	0.708	0.109
0.32	0.133	0.025	0.016	0.506
0.344	0.233	0.403	0.02	0
0	1	0	0	0
0.9	0	0.1	0	0
0.78	0.04	0.18	0	0
0.7	0.13	0.17	0	0
0.61	0.22	0.17	0	0
0.68	0.16	0.16	0	0
0.6	0.2	0.2	0	0
0.7	0.15	0.15	0	0
0.8	0.1	0.1	0	0
0.9	0.05	0.05	0	0
0.1	0.8	0.1	0	0
0.05	0.9	0.05	0	0
0.613	0.09	0.297	0	0
0.644	0.085	0.271	0	0
0.674	0.079	0.232	0	0
0.744	0.063	0.193	0	0
0.765	0.057	0.178	0	0
0.701	0.073	0.226	0	0
0.8	0.043	0.157	0	0
0.816	0.031	0.153	0	0
